pokedex number,english name,katakana,romaji
#0056,Mankey,マンキー,Mankī
#0057,Primeape,オコリザル,Okorizaru
#0058,Growlithe,ガーディ,Gādi
#0059,Arcanine,ウインディ,Uindi
#0060,Poliwag,ニョロモ,Nyoromo
#0061,Poliwhirl,ニョロゾ,Nyorozo
#0062,Poliwrath,ニョロボン,Nyorobon
#0063,Abra,ケーシィ,Kēshī
#0064,Kadabra,ユンゲラー,Yungerā
#0065,Alakazam,フーディン,Fūdin
#0066,Machop,ワンリキー,Wanrikī
#0067,Machoke,ゴーリキー,Gōrikī
#0068,Machamp,カイリキー,Kairikī
#0069,Bellsprout,マダツボミ,Madatsubomi
#0070,Weepinbell,ウツドン,Utsudon
#0071,Victreebel,ウツボット,Utsubotto
#0072,Tentacool,メノクラゲ,Menokurage
#0073,Tentacruel,ドククラゲ,Dokukurage
#0074,Geodude,イシツブテ,Ishitsubute
#0075,Graveler,ゴローン,Gorōn
#0076,Golem,ゴローニャ,Gorōnya
#0077,Ponyta,ポニータ,Ponīta
#0078,Rapidash,ギャロップ,Gyaroppu
#0079,Slowpoke,ヤドン,Yadon
#0080,Slowbro,ヤドラン,Yadoran
#0081,Magnemite,コイル,Koiru
#0082,Magneton,レアコイル,Reakoiru
#0083,Farfetch'd,カモネギ,Kamonegi
#0084,Doduo,ドードー,Dōdō
#0085,Dodrio,ドードリオ,Dōdorio
#0086,Seel,パウワウ,Pauwau
#0087,Dewgong,ジュゴン,Jugon
#0088,Grimer,ベトベター,Betobetā
#0089,Muk,ベトベトン,Betobeton
#0090,Shellder,シェルダー,Sherudā
#0091,Cloyster,パルシェン,Parushen
#0092,Gastly,ゴース,Gōsu
#0093,Haunter,ゴースト,Gōsuto
#0094,Gengar,ゲンガー,Gengā
#0095,Onix,イワーク,Iwāku
#0096,Drowzee,スリープ,Surīpu
#0097,Hypno,スリーパー,Surīpā
#0098,Krabby,クラブ,Kurabu
#0099,Kingler,キングラー,Kingurā
#0100,Voltorb,ビリリダマ,Biriridama
#0101,Electrode,マルマイン,Marumain
#0102,Exeggcute,タマタマ,Tamatama
#0103,Exeggutor,ナッシー,Nasshī
#0104,Cubone,カラカラ,Karakara
#0105,Marowak,ガラガラ,Garagara
#0106,Hitmonlee,サワムラー,Sawamurā
#0107,Hitmonchan,エビワラー,Ebiwarā
#0108,Lickitung,ベロリンガ,Beroringa
#0109,Koffing,ドガース,Dogāsu
#0110,Weezing,マタドガス,Matadogasu
#0111,Rhyhorn,サイホーン,Saihōn
#0112,Rhydon,サイドン,Saidon
#0113,Chansey,ラッキー,Rakkī
#0114,Tangela,モンジャラ,Monjara
#0115,Kangaskhan,ガルーラ,Garūra
#0116,Horsea,タッツー,Tattsū
#0117,Seadra,シードラ,Shīdora
#0118,Goldeen,トサキント,Tosakinto
#0119,Seaking,アズマオウ,Azumaō
#0120,Staryu,ヒトデマン,Hitodeman
#0121,Starmie,スターミー,Sutāmī
#0122,Mr. Mime,バリヤード,Bariyādo
#0123,Scyther,ストライク,Sutoraiku
#0124,Jynx,ルージュラ,Rūjura
#0125,Electabuzz,エレブー,Erebū
#0126,Magmar,ブーバー,Būbā
#0127,Pinsir,カイロス,Kairosu
#0128,Tauros,ケンタロス,Kentarosu
#0129,Magikarp,コイキング,Koikingu
#0130,Gyarados,ギャラドス,Gyaradosu
#0131,Lapras,ラプラス,Rapurasu
#0132,Ditto,メタモン,Metamon
#0133,Eevee,イーブイ,Ībui
#0134,Vaporeon,シャワーズ,Shawāzu
#0135,Jolteon,サンダース,Sandāsu
#0136,Flareon,ブースター,Būsutā
#0137,Porygon,ポリゴン,Porigon
#0138,Omanyte,オムナイト,Omunaito
#0139,Omastar,オムスター,Omusutā
#0140,Kabuto,カブト,Kabuto
#0141,Kabutops,カブトプス,Kabutopusu
#0142,Aerodactyl,プテラ,Putera
#0143,Snorlax,カビゴン,Kabigon
#0144,Articuno,フリーザー,Furīzā
#0145,Zapdos,サンダー,Sandā
#0146,Moltres,ファイヤー,Faiyā
#0147,Dratini,ミニリュウ,Miniryū
#0148,Dragonair,ハクリュー,Hakuryū
#0149,Dragonite,カイリュー,Kairyū
#0150,Mewtwo,ミュウツー,Myūtsū
#0151,Mew,ミュウ,Myū
