pokedex number,english name,katakana,romaji
#0563,Cofagrigus,デスカーン,Desukān
#0564,Tirtouga,プロトーガ,Purotōga
#0565,Carracosta,アバゴーラ,Abagōra
#0566,Archen,アーケン,Āken
#0567,Archeops,アーケオス,Ākeosu
#0568,Trubbish,ヤブクロン,Yabukuron
#0569,Garbodor,ダストダス,Dasutodasu
#0570,Zorua,ゾロア,Zoroa
#0571,Zoroark,ゾロアーク,Zoroāku
#0572,Minccino,チラーミィ,Chirāmī
#0573,Cinccino,チラチーノ,Chirachīno
#0574,Gothita,ゴチム,Gochimu
#0575,Gothorita,ゴチミル,Gochimiru
#0576,Gothitelle,ゴチルゼル,Gochiruzeru
#0577,Solosis,ユニラン,Yuniran
#0578,Duosion,ダブラン,Daburan
#0579,Reuniclus,ランクルス,Rankurusu
#0580,Ducklett,コアルヒー,Koaruhī
#0581,Swanna,スワンナ,Suwanna
#0582,Vanillite,バニプッチ,Baniputchi
#0583,Vanillish,バニリッチ,Baniritchi
#0584,Vanilluxe,バイバニラ,Baibanira
#0585,Deerling,シキジカ,Shikijika
#0586,Sawsbuck,メブキジカ,Mebukijika
#0587,Emolga,エモンガ,Emonga
#0588,Karrablast,カブルモ,Kaburumo
#0589,Escavalier,シュバルゴ,Shubarugo
#0590,Foongus,タマゲタケ,Tamagetake
#0591,Amoonguss,モロバレル,Morobareru
#0592,Frillish,プルリル,Pururiru
#0593,Jellicent,ブルンゲル,Burungeru
#0594,Alomomola,ママンボウ,Mamanbō
#0595,Joltik,バチュル,Bachuru
#0596,Galvantula,デンチュラ,Denchura
#0597,Ferroseed,テッシード,Tesshīdo
#0598,Ferrothorn,ナットレイ,Nattorei
#0599,Klink,ギアル,Giaru
#0600,Klang,ギギアル,Gigiaru
#0601,Klinklang,ギギギアル,Gigigiaru
#0602,Tynamo,シビシラス,Shibishirasu
#0603,Eelektrik,シビビール,Shibibīru
#0604,Eelektross,シビルドン,Shibirudon
#0605,Elgyem,リグレー,Rigurē
#0606,Beheeyem,オーベム,Ōbemu
#0607,Litwick,ヒトモシ,Hitomoshi
#0608,Lampent,ランプラー,Ranpurā
#0609,Chandelure,シャンデラ,Shandera
#0610,Axew,キバゴ,Kibago
#0611,Fraxure,オノンド,Onondo
#0612,Haxorus,オノノクス,Ononokusu
#0613,Cubchoo,クマシュン,Kumashun
#0614,Beartic,ツンベアー,Tsunbeā
#0615,Cryogonal,フリージオ,Furījio
#0616,Shelmet,チョボマキ,Chobomaki
#0617,Accelgor,アギルダー,Agirudā
#0618,Stunfisk,マッギョ,Maggyo
#0619,Mienfoo,コジョフー,Kojofū
#0620,Mienshao,コジョンド,Kojondo
#0621,Druddigon,クリムガン,Kurimugan
#0622,Golett,ゴビット,Gobitto
#0623,Golurk,ゴルーグ,Gorūgu
#0624,Pawniard,コマタナ,Komatana
#0625,Bisharp,キリキザン,Kirikizan
#0626,Bouffalant,バッフロン,Baffuron
#0627,Rufflet,ワシボン,Washibon
#0628,Braviary,ウォーグル,Wōguru
#0629,Vullaby,バルチャイ,Baruchai
#0630,Mandibuzz,バルジーナ,Barujīna
#0631,Heatmor,クイタラン,Kuitaran
#0632,Durant,アイアント,Aianto
#0633,Deino,モノズ,Monozu
#0634,Zweilous,ジヘッド,Jiheddo
#0635,Hydreigon,サザンドラ,Sazandora
#0636,Larvesta,メラルバ,Meraruba
#0637,Volcarona,ウルガモス,Urugamosu
#0638,Cobalion,コバルオン,Kobaruon
#0639,Terrakion,テラキオン,Terakion
#0640,Virizion,ビリジオン,Birijion
#0641,Tornadus,トルネロス,Torunerosu
#0642,Thundurus,ボルトロス,Borutorosu
#0643,Reshiram,レシラム,Reshiramu
#0644,Zekrom,ゼクロム,Zekuromu
#0645,Landorus,ランドロス,Randorosu
#0646,Kyurem,キュレム,Kyuremu
#0647,Keldeo,ケルディオ,Kerudio
#0648,Meloetta,メロエッタ,Meroetta
#0649,Genesect,ゲノセクト,Genosekuto
